id,name,ccn3,latitude,longitude
1,SCHOONSELHOF CEMETERY ANTWERPEN,56,51.16349933440274,4.371164292063712
2,BAYEUX WAR CEMETERY,250,49.27412,-0.71339
3,CLIPSTONE CEMETERY,826,53.16613851584652,-1.116562572477434
4,DUNKIRK MEMORIAL,250,51.02929917306615,2.385793329017261
5,SALERNO WAR CEMETERY,380,40.62558360098697,14.92226638203161
6,BEACH HEAD WAR CEMETERY ANZIO,380,41.48234,12.62499
7,RANCHI WAR CEMETERY,356,23.36298716580344,85.34382346201809
9,THANBYUZAYAT WAR CEMETERY,104,16.49356944651815,97.64254111587921
10,HOLME BRIDGE (ST DAVID) CHURCHYARD,826,53.5572853281613,-1.819044113670363
11,KNOCKBREDA CEMETERY,826,54.56328911305064,-5.912189649884918
12,TRIPOLI WAR CEMETERY,434,32.87898476269825,13.16275042092633
13,MIDDLETON (ST JOHN THE BAPTIST) CHURCHYARD,826,52.58252926447771,-1.740383761284684
14,GREETLAND (ST THOMAS) CHURCHYARD,826,53.68910803346262,-1.87248710814926
15,ARNHEM OOSTERBEEK WAR CEMETERY,528,51.99308,5.84989
16,EL ALAMEIN WAR CEMETERY,818,30.83747094980451,28.94661892214075
18,ILKLEY CEMETERY,826,53.92759701117502,-1.821139098689145
19,GATESHEAD EAST CEMETERY,826,54.95552157250705,-1.59289823764783
20,CALCUTTA (BHOWANIPORE) CEMETERY,356,22.53585978555847,88.33641954097533
21,NAPLES WAR CEMETERY,380,40.88479432242557,14.24019783339199
22,JONKERBOS WAR CEMETERY,528,51.82205464648228,5.829795866124018
23,BEVERLEY (ST MARY) CHURCH CEMETERY,826,53.84867,-0.44166
24,HULL CREMATORIUM,826,53.76476570070254,-0.3750026019891379
25,EVREUX COMMUNAL CEMETERY,250,49.02130252694234,1.156670370461569
26,BARI WAR CEMETERY,380,41.06481,16.8847
27,EINDHOVEN (WOENSEL) GENERAL CEMETERY,528,51.45584038201854,5.48154150030048
29,LA DELIVRANDE WAR CEMETERY,250,49.29008203997108,-0.3771431063519231
30,DE PANNE COMMUNAL CEMETERY,56,51.0874384831855,2.602677870850968
31,HELIOPOLIS  WAR CEMETERY,818,30.07973,31.32963
32,KANCHANABURI WAR CEMETERY,764,14.09694393901952,99.41129873944156
33,TAUKKYAN  WAR CEMETERY,104,17.0364387417396,96.13215854003255
34,KORTRIJK (ST JEAN) COMMUNAL CEMETERY,56,50.82368860474266,3.224178387926301
35,ROMFORD CEMETERY,826,51.5673664294255,0.170472109887541
36,LE CLION-SUR-MER COMMUNAL CEMETERY,250,47.12059465884897,-2.055526350746007
37,LIVERPOOL (KIRKDALE) CEMETERY,826,53.47038147930681,-2.941897754091016
38,MADRAS WAR CEMETERY & 1914-1918 WAR MEMORIAL,356,13.01428930868911,80.19435072133209
39,BOURNEMOUTH (ST PETER) CHURCHYARD,826,50.720544372599,-1.875401112470897
40,WOTTON BASSETT CEMETERY,826,51.54212021471604,-1.899383362371253
41,SANGRO RIVER WAR CEMETERY,380,42.23177447325866,14.54409494001459
42,RANGOON WAR CEMETERY,104,16.81146125175984,96.13314314423872
44,BOLTON (TONGE) CEMETERY,826,53.57700658803842,-2.408747417827669
45,LABUAN WAR CEMETERY,458,5.286811299644589,115.2619105288505
46,KILMARNOCK CEMETERY,826,55.61362396905591,-4.479729403458236
47,WORKINGTON (SALTERBECK) CEMETERY,826,54.6224616585526,-3.566488193025371
49,LE GRAND-LUCE WAR CEMETERY,250,47.86590127761338,0.4611650294095854
50,STOKE ON TRENT (HANLEY) CEMETERY,826,53.01408,-2.18509
51,BROOKWOOD MILITARY CEMETERY,826,51.29878065813119,-0.6221847463860775
52,OVERSEAL (ST MATTHEW) CHURCHYARD,826,52.7362313173124,-1.564548382903155
53,SUDA BAY CEMETERY CRETE,300,35.5001596656571,24.06109647990322
54,RAMLEH WAR CEMETERY,376,31.93018,34.88383
55,SOUTHPORT (DUKE STREET) CEMETERY,826,53.63395472080489,-2.99818606015009
56,KHYAT BEACH WAR CEMETERY,376,32.79922,34.9618
57,ALDERSHOT MILITARY CEMETERY,826,51.25552,-0.74481
59,NICOSIA WAR CEMETERY,196,35.17360798641387,33.31484051528152
60,THURROCK (CHADWELL ST MARY) CEMETERY,826,51.48601028146813,0.3672550081876325
61,SYRACUSE WAR CEMETERY,380,37.07490278678197,15.25805768761668
62,BASRA WAR CEMETERY,368,30.53014,47.8205
63,GRADARA WAR CEMETERY,380,43.95592812864233,12.76819278431604
64,FORLI WAR CEMETERY,380,44.20530779827342,12.01444246801241
65,REICHSWALD FOREST WAR CEMETERY,276,51.74042383184055,6.082255633701664
66,CARDIFF (CATHAYS) CEMETERY,826,51.5009488700448,-3.180971948125716
67,"BONE WAR CEMETERY, ANNABA",12,36.87165735948391,7.716940142318918
68,MIDDLESBROUGH (ACKLAM) CEMETERY,826,54.56400960433509,-1.254111573164417
69,LEYTONSTONE (ST PATRICK'S) ROMAN CATHOLIC CEMETERY,826,51.55802960651351,-0.0006431566824858237
70,IPSWICH CEMETERY,826,52.06543927804678,1.168535540766087
71,RANVILLE WAR CEMETERY,250,49.23112612834952,-0.2585983864980648
72,GUILDFORD (STOKE) CEMETERY,826,51.25437594326688,-0.5825893528945825
73,ST. CHARLES DE PERCY WAR CEMETERY,250,48.92727461068915,-0.8017450015743322
74,ATH (LORETTE) COMMUNAL CEMETERY,56,50.63450793699017,3.798308726355091
75,FLORENCE WAR CEMETERY,380,43.76945654572732,11.34321961028427
76,BRADFORD (SCHOLEMOOR) CEMETERY,826,53.79007666048045,-1.7948463577805
77,AREZZO WAR CEMETERY,380,43.48411,11.79039
78,WINDLESHAM ADDITIONAL BURIAL GROUND,826,51.3658802947032,-0.6652682669061594
80,KRANJI WAR CEMETERY,702,1.419072607025749,103.757816954999
81,FONTMELL MAGNA (ST ANDREW) CHURCHYARD,826,50.95199784830634,-2.192819622372554
82,SOUTHMINSTER (ST LEONARDS) CHURCHYARD,826,51.66160852373962,0.8305067923681549
83,BENGHAZI  WAR CEMETERY,434,32.07696,20.08936
84,GLASGOW (CRAIGTON) CEMETERY,826,55.84930618477254,-4.33663223002857
85,BERLIN 1939-1945 WAR CEMETERY,276,52.50764,13.22273
86,NAIROBI PARK CEMETERY KENYA,404,-1.310041482503438,36.74833583914266
87,BIRKENHEAD (FLAYBRICK HILL) CEMETERY,826,53.39682,-3.06316
89,SANDHURST (ST MICHAEL) CHURCHYARD,826,51.35012297235668,-0.8148966983496282
90,ARMTHORPE (SS LEONARD AND MARY) CHURCHYARD,826,53.53694,-1.06215
91,HOTTON WAR CEMETERY,56,50.27041174877376,5.449228269754229
93,DARLINGTON WEST CEMETERY,826,54.52035344476634,-1.584798483245459
94,PENZANCE CEMETERY,826,50.125186294842,-5.546768359835383
95,REIGATE (REDSTONE) CEMETERY,826,51.2312067863962,-0.1575749589837427
96,PADUA WAR CEMETERY,380,45.42165,11.83996
97,STANLEY MILITARY CEMETERY,344,22.2133347124514,114.2163357987372
