id,Name,NearestCity,Notes,WartimeCountry,PresentCountry_id,Latitude,Longitude
1,Stalag II A,Neubrandenberg,Between Stettin and Berlin,GERMANY,276,,
2,Stalag III A,Luckenwalde,South west of Potsdam,GERMANY,276,,
3,Stalag III D,Berlin-Steglitz (Lichterfelde),South east of Berlin,GERMANY,276,,
4,Stalag 4A,HOHENSTEIN,South east of Dresden,GERMANY,276,,
5,Stalag IV B,Muehlberg,Muehlberg an der Elbe. North east of Leipzig,GERMANY,276,,
6,Stalag IV C,Wistritz,South of Dresden,GERMANY,276,,
7,Stalag IV D,Torgau,Between Magdeburg and Dresden (Sachsen),GERMANY,276,,
8,Stalag IV D/Z,Annaburg,North west of Dresden,GERMANY,276,,
9,Stalag 4F,Hartmansdorf,Chemnitz south west of Dresden,GERMANY,276,,
10,Stalag IV G,Oschatz,West of Leipzig,GERMANY,276,,
11,Stalag V B,Villingen,Schwarzwald west of Freiburg,GERMANY,276,,
12,Stalag VII A,Moosburg,Isar north east of Munich,GERMANY,276,,
13,Stalag VIII B,Teschen,North east of Leipzig,GERMANY,276,,
14,Stalag VIII C,Sagan,Zagan Poland. North east of Dresden,GERMANY,616,,
15,Stalag IX C,Muelhausen,South of Kassel Leipzig,GERMANY,276,,
16,Stalag XI A (341),Altengrabow,North east of Magdeburg,GERMANY,276,,
17,Stalag XI B,Fallingbostel,South of Soltau,GERMANY,276,,
18,Stalag XII A,Diez (bei Limburg),North west of Frankfurt am Main,GERMANY,276,,
19,Stalag XVII A,Kaisersteinbruch,South west of Vienna,AUSTRIA,40,,
20,Stalag 18A,Wolfsberg Karnten,South west of Graz,AUSTRIA,40,,
21,Stalag XX A,Thorn,South east of Bydgoszc,POLAND,616,,
22,Stalag XX B,Marienburg,Malbork. South east of Danzig,POLAND,616,,
23,Stalag XXI D,Posen,South east of Posen,POLAND,616,,
24,Stalag XVIII C (317),Markt Pongau,St. Johann i. Pongau. East of Innsbruck,AUSTRIA,40,,
25,Stalag 344,Lamsdorf,Lambinowice Poland. SOUTH EAST OF BRESLAU,GERMANY,616,,
26,Stalag 357,Oerbke,,GERMANY,276,,
27,Stalag 383,Hohenfels,South east of Nuernberg,GERMANY,276,,
28,Stalag 398,Pupping,Near Ling south west of linz,AUSTRIA,40,,
29,BAU ARBEIT BATTALIONS 21 & 22,Lampsdord,SOUTH WEST OF BRESLAU,GERMANY,276,,
30,Dulag Luft,Wetzlar,North west of Frankfurt,GERMANY,276,,
31,Oflag V A,Weinsberg,North east of Karlsruhe,GERMANY,276,,
32,Oflag 79,Querum bei Braunschweig,formerly Oflag F8 Braunschweig. South west of braunschweig.,GERMANY,276,,
33,Ambon,Ambon,Ambon town located on Ambon island Indonesia,INDONESIA,360,,
34,Changi,Singapore Island,,MALAYA,458,,
35,Chunkai,Chunkai,5km west of Kanchanaburi,THAILAND,764,,
36,Djakarta,Djakarta,Djakarta lies on the north west coast of the island of Java,INDONESIA,360,,
37,Johore,Johore,On the tip of Malaya where it joins Singapore,MALAYSIA,458,,
38,Kanchanaburi,Kanchanaburi,129 kc west north west of Bangkok,THAILAND,764,,
39,Labuan,Labuan,Small island in Brunei Bay off the north west coast of Borneo,MALAYSIA,458,,
40,Kranchi,Kranchi,22kc north of the city of Singapore,SINGAPORE,702,,
41,Fort Dixon,Fort Dixon,Taiping town is 97kc south east of Penang Town Malay,MALAYSIA,458,,
