id,soldier_id,Date,company_id,cemetery_id,cwgc_id
1,3774,1944-12-16,185 PORTS COY,1,2254801
2,3777,1940-05-24,23 DIV PRO COY,4,2770311
3,5400,1944-09-03,640 IND PRO UNIT,5,207709
4,3775,1944-07-16,15 DIV PRO COY,2,2955208
5,685,1943-09-12,46 DIV PRO COY,5,207711
6,3776,1942-03-04,2 DIV PRO COY,3,2702897
7,3778,1944-03-17,1 DIV PRO COY,6,2371512
8,3779,1943-12-05,90 L OF C PRO COY,7,280710
9,5305,1947-03-26,CMP(I).,765,2571866
10,3780,1944-06-13,243 PRO COY,2,2955213
11,4630,1944-10-02,510 IND MOBILE PRO COY,21,2239106
12,3781,1943-06-05,18 DIV PRO COY,9,2088716
13,5306,1946-05-19,CMP(I).,765,2571929
14,5365,1944-04-20,4 INDIAN DIV PRO COY,41,2377127
15,5160,1945-11-12,UNKNOWN,686,2412416
16,3782,1942-04-07,38 DIV PRO COY,10,2401872
17,3784,1943-03-13,1 ARMD DIV PRO COY,12,2168222
18,5120,1947-01-19,120 PRO COY,731,2654690
19,5383,1946-02-10,CMP(I).,33,2083939
20,3783,1944-07-05,UNKNOWN,11,2690307
21,3785,1944-03-20,UNKNOWN,13,2714584
22,5258,1919-03-31,MFP,745,375611
23,3786,1943-04-17,110 PRO COY,14,2408103
24,3787,1944-11-24,101 Company TC,15,2644216
25,3788,1941-06-07,SIB/CMP,763,2119152
26,4636,1917-12-04,MFP,408,373226
27,5049,1947-05-22,UNKNOWN,635,2651757
28,5418,1918-11-24,MPSC,788,2749007
29,939,1944-03-17, 4 INDIAN DIV PRO COY,164,2607997
30,3789,1945-04-24,K PRO COY,629,2170424
31,4637,1918-03-27,MMP POW,409,364857
32,4638,1918-05-01,MMP,410,25009
33,5159,1945-12-03,UNKNOWN,685,2429003
34,5307,1944-05-25,CMP(I).,765,2573035
35,3790,1941-09-08,2 DIV PRO COY,18,2402672
36,3792,1942-08-21,UNKNOWN,20,2191615
37,3791,1944-02-14,UNKNOWN,19,2838063
38,3793,1944-03-29,UNKNOWN,21,2239124
39,5366,1944-04-20,4 INDIAN DIV PRO COY,41,2377197
40,4639,1917-05-22,MFP,411,2746400
41,3794,1944-10-12,108 PRO COY,22,2645040
42,5308,1944-11-10,CMP(I).,765,2573213
43,5370,1944-04-02,CMP(I).,775,2503845
44,3795,1944-06-26,UNKNOWN,23,2406565
45,5059,1946-11-22,43 DIV PRO COY,166,1475351
46,3796,1940-06-04,50 DIV PRO COY,24,2402197
47,3798,1945-01-17,182 PORTS COY,26,2202964
48,3797,1940-05-25,182 PRO COY,25,2320713
49,5176,1946-07-02,UNKNOWN,616,2432504
50,3799,1943-09-02,18 DIV PRO COY,9,2088781
51,5369,1945-07-24,31 INDIAN ARMD DIV PRO COY,773,2188386
52,3800,1944-12-26,UNKNOWN,27,2617617
53,4640,1918-11-07,MFP,412,402051
54,4641,1917-05-30,MFP 1 TC COY 1 ARMY,464,433705
55,3803,1940-05-31,1 DIV PRO COY,30,2082145
56,3801,1946-03-04,202 PRO COY,721,2110246
57,4631,1942-07-31,UNKNOWN,404,2721745
58,3802,1944-07-18,7 ARMD DIV PRO COY,29,2339522
59,4632,1942-05-27,204 PRO COY,763,2119367
60,4642,1919-02-26,MFP,816,406426
61,4643,1917-12-13,MMP,415,243263
62,5296,1946-02-22,83 (INDIAN) L OF C PRO COY,762,1056869
63,3804,1944-06-17,56 DIV PRO COY,31,2208553
64,3806,1944-12-28,26 TC COY,34,2252731
65,3805,1943-06-03,18 DIV PRO COY,32,2665060
1962,6318,1944-04-30,19 (EAST AFRICAN) PRO SECTION,627,2111932
67,3807,1940-04-15,UNKNOWN,35,2427032
68,5309,1946-08-24,CMP(I).,765,2574284
69,3808,1943-10-04,78 DIV PRO COY,26,2202993
70,3809,1940-06-17,1 ARMD DIV PRO COY,36,2391620
71,2019,1941-09-26,UNKNOWN,686,2412420
72,3810,1943-09-09,231 PRO UNIT,5,207781
73,3811,1945-06-14,97 (BEACH MAINTENANCE) PRO COY,840,2172448
74,3812,1944-10-28,UNKNOWN,737,2112514
75,5012,1946-03-02,UNKNOWN,235,2199762
76,3813,1943-07-26,UNKNOWN,821,2690931
77,5202,1942-10-16,UNKNOWN,640,2216789
78,4644,1918-11-06,MMP,54,651882
79,5028,1947-12-09,6 AIRBORNE DIV PRO,56,1155335
80,3814,1940-11-03,48 DIV PRO COY,40,2710543
81,4645,1918-03-23,MFP 3RD ARMY,759,36536
82,3815,1944-02-02,640 IND PRO UNIT,41,2377290
83,4646,1917-03-19,MMP,417,557780
84,5158,1947-07-09,UNKNOWN,684,2714542
85,3816,1943-04-06,2 DIV PRO COY,775,2505049
86,3817,1940-11-15,UNKNOWN,630,2441509
87,3818,1942-01-25,1 ARMD DIV PRO COY,763,2119509
88,4647,1918-11-14,MMP,418,479278
89,5263,1920-02-12,UNKNOWN,186,404200
90,4648,1918-04-13,MFP,419,587170
91,3819,1941-12-23,UNKNOWN,44,2697908
92,4649,1918-11-10,MMP,38,1465353
93,3820,1941-09-04,204 PRO COY,721,2110280
94,3821,1945-06-14,SINGAPORE FORTRESS,45,2676797
95,3822,1943-03-04,UNKNOWN,46,2455631
96,5200,1944-06-25,241 PRO COY,126,2336851
97,3823,1945-05-23,UNKNOWN,47,2695973
98,3824,1944-07-21,53 DIV PRO COY,290,2336116
99,3825,1940-05-25,UNKNOWN,49,2846585
100,5425,1946-10-31,246 PRO COY,166,1475371
101,3826,1943-09-11,4 PARACHUTE BDE,26,2203043
102,3828,1943-11-19,18 DIV PRO COY,9,2088910
103,4650,1919-01-16,MFP,796,358079
104,4651,1919-02-22,MFP,421,648694
106,4652,1919-01-04,MFP 3RD CORPS,423,479469
107,5310,1945-01-21,CMP(I).,765,2574710
108,5356,1943-04-11,CMP(I).,216,2386882
109,5380,1945-01-08,23 INDIAN DIV PRO COY,33,2153929
110,5361,1944-07-08,10 INDIAN DIV PRO COY,769,2065267
111,3827,1942-10-07,UNKNOWN,695,2713550
112,5068,1944-12-11,116 PRO COY,302,2931814
113,4653,1918-08-02,MFP,424,70965
114,4654,1918-10-10,MFP,425,899823
115,3829,1940-06-12,UNKNOWN,51,2761859
116,5141,1945-07-05,UNKNOWN,162,2702091
117,4655,1914-10-08,MMP,426,405216
