id,soldier_id,company_id,decoration_id,gazetteIssue,gazettePage,gazetteDate,citation,notes,country_id
1,1,FSP Hopkinson Mission,1,35020,7200,1940-12-20,"Military Medal Citation.
BEF.   France & Flanders
Near ST TROND on the 11 May 1940 this NCO showed conspicuous bravery when bringing back a report from a Belgian HQ during a heavy German bombing attack.   His motorcycle was damaged by an enemy bomb and he repaired his machine while still under fire and succeeded in delivering his report in spite of the fact that he had to pass through an area already occupied by the enemy.
Awarded the MM.   Recommended by Lt Col G F Hopkinson head of mission.   National Archive WO 373/16.",,,
6,3,31 Section FSP,1,34936,5327,1940-09-03,"Military Medal Citation.
France & Flanders
At about 1400hrs on 8 June Sergeant Joualt on a motorcycle went to FORGES-LES-EAUX to find and bring back another FSP (Field Security Policeman) who he knew was on duty at this place, but ran into a column of German tanks and was captured.   French guns opened fire on the column and Sergeant Joualt escaped during the confusion, only to be re-captured half an hour later.   He had by this time obtained civilian clothes at a deserted farm.   He was taken to a village south of BUCHY to await escort.   At 1730hrs he again escaped and rejoined his section in the early hours of 9 June, bringing back valuable information as to the enemy's strength.   Sergeant Joualt acted throughout with complete disregard of personal safety and his only thought was to bring in a man of his section.
Awarded the MM.   Recommended by his Section Commander Lt P Boggis-Rolfe.  National Archive WO 373/16.",,826,
8,5,102 PRO COY,4,34926,5076,1940-08-20,"Citation for DCM:
 BEF France & Flanders
At Dunkirk on Saturday, 1st June 1940, after being engaged for three days and nights in embarkation duties at Bray Dunes during continuous heavy bombing and shelling, this WO volunteered to assist in the removal of wounded and was employed on this duty on the Mole, frequently under shell fire, until he was ordered to embark at 2100 hours whereas he could have left at 1000 hours that day.
During the whole withdrawal period and whilst under heavy bombing  and shelling he carried out reconnaisance, traffic and embarkation duties with ability.   By his coolness and devotion to duty he set a fine example to the men under him and contributed greatly to the successful withdrawal and embarkation of BEF troops.
National Archive WO 373/15.",,250,6
9,10,1 HQ L OF C PRO COY,5,34893,4249,1940-07-11,BEF.   MBE Citation:  This W.O has commanded No.1.H.Q. Provost Coy. L. of C. since mobilisation and has done meritorious work.  Comdr. L. of C.,,,
10,11,102 PRO COY,5,34893,4250,1940-07-11,"BEF.   MBE Citation:  Came out with 102 Provost Company over five months ago and has shewn great devotion to duty ever since.   Has set a very good example and played an important part in maintaining a high standard of discipline in the Corps Troops Area.   Has also performed outstanding duties in connection with traffic control organisation.   A regular soldier of 25 years service.   P Ingram Maj APM 1 Corps.
National Archive WO 373/75.",,826,
12,13,Brest Sub-Area,6,34893,4255,1940-07-11,"BEF.    BEM Citation. Brest Sub-Area citation As SNCO of the CMP in Brest this NCO by his excellent work, energy and example was of the greatest possible assistance to the DAMP (DAPM).   He is very keenley interested in his duties, and due in a very large measure to the very high standard that he set and demanded, the behaviour of the troops in the area has been satisfactory.",,,
14,15,50 DIV PRO COY,4,34893,4264,1940-07-11,"Citation  for DCM:
BEF France & Flanders
In the early hours of 2 June 1940 Sergeants Naish and Corbett were on the mole at Dunkirk with a large number of men of various units under heavy shell fire.   As ships were not immediately available it was necessary to clear the mole before daybreak as otherwise heavy casualties might have ensued through air and artillery bombardment.   These two NCO's set a great example by their courage and coolness and regardless of their personal safety persuaded many men to march back to the beach from the mole.   Subsequently they assisted in embarking 159 men who would otherwise have remained in an exposed position on the mole.
Won in the company of Sgt Corbett who was also awarded the DCM.   ",,,
15,16,50 DIV PRO COY,4,34893,4264,1940-07-11,"Distinguished Conduct Medal citation:
In the early hours of 2 June 1940 Sergeants Naish and Corbett were on the mole at Dunkirk with a large number of men of various units under heavy shell fire.   As ships were not immediately available it was necessary to clear the mole before daybreak as otherwise heavy casualties might have ensued through air and artillery bombardment.   These two NCO's set a great example by their courage and coolness and regardless of their personal safety persuaded many men to march back to the beach from the mole.   Subsequently they assisted in embarking 159 men who would otherwise have remained in an exposed position on the mole.
Won in the company of Sgt Naish who was also awarded the DCM.   National Archive WO 373/15.",,,
4537,6022,UNKNOWN,52,59316,1221,2010-01-26,,,0,
4538,3624,UNKNOWN,19,59316,1221,2010-01-26,Rank WOI.,,,
